IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.70.197,2096,2096,true,HKG,Asia Pacific,Hong Kong,97,8.99
47.74.7.51,80,80,false,NRT,Asia Pacific,Tokyo,86,8.98
8.219.60.68,2083,2083,true,SIN,Asia Pacific,Singapore,157,8.98
47.236.172.95,2087,2087,true,SIN,Asia Pacific,Singapore,61,8.96
47.236.130.95,8080,8080,false,SIN,Asia Pacific,Singapore,41,8.96
8.219.210.64,2095,2095,false,SIN,Asia Pacific,Singapore,12,8.96
8.222.128.131,2083,2083,true,SIN,Asia Pacific,Singapore,100,8.95
47.236.117.48,8443,8443,true,SIN,Asia Pacific,Singapore,37,8.95
8.222.221.86,443,443,true,SIN,Asia Pacific,Singapore,74,8.95
8.222.208.83,8443,8443,true,SIN,Asia Pacific,Singapore,86,8.95
8.219.40.255,2053,2053,true,SIN,Asia Pacific,Singapore,61,8.95
8.219.222.8,2096,2096,true,SIN,Asia Pacific,Singapore,106,8.95
47.242.79.71,80,80,false,HKG,Asia Pacific,Hong Kong,55,8.95
8.218.142.253,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,8.95
8.219.200.145,2096,2096,true,SIN,Asia Pacific,Singapore,82,8.95
8.222.150.197,8880,8880,false,SIN,Asia Pacific,Singapore,9,8.94
8.219.106.156,2087,2087,true,SIN,Asia Pacific,Singapore,67,8.94
8.219.93.5,2053,2053,true,SIN,Asia Pacific,Singapore,160,8.94
8.222.140.87,2052,2052,false,SIN,Asia Pacific,Singapore,16,8.94
8.219.67.133,2087,2087,true,SIN,Asia Pacific,Singapore,59,8.92
8.219.1.92,2082,2082,false,SIN,Asia Pacific,Singapore,13,8.92
8.222.146.222,2082,2082,false,SIN,Asia Pacific,Singapore,24,8.91
8.219.97.179,443,443,true,SIN,Asia Pacific,Singapore,81,8.91
8.222.164.209,2086,2086,false,SIN,Asia Pacific,Singapore,18,8.91
47.236.168.17,2053,2053,true,SIN,Asia Pacific,Singapore,63,8.90
8.219.99.8,443,443,true,SIN,Asia Pacific,Singapore,91,8.90
8.218.52.115,8080,8080,false,HKG,Asia Pacific,Hong Kong,40,8.90
8.219.197.111,80,80,false,SIN,Asia Pacific,Singapore,34,8.90
47.242.79.71,2083,2083,true,HKG,Asia Pacific,Hong Kong,85,8.90
8.219.40.37,2053,2053,true,SIN,Asia Pacific,Singapore,81,8.89
8.217.250.222,2087,2087,true,HKG,Asia Pacific,Hong Kong,71,8.89
8.219.175.127,2087,2087,true,SIN,Asia Pacific,Singapore,67,8.89
47.236.169.141,2053,2053,true,SIN,Asia Pacific,Singapore,18,8.89
47.236.104.98,8880,8880,false,SIN,Asia Pacific,Singapore,22,8.88
8.219.202.130,80,80,false,SIN,Asia Pacific,Singapore,9,8.88
8.219.151.193,2052,2052,false,SIN,Asia Pacific,Singapore,54,8.87
8.219.99.169,2087,2087,true,SIN,Asia Pacific,Singapore,53,8.87
8.222.249.190,2087,2087,true,SIN,Asia Pacific,Singapore,85,8.87
8.210.21.65,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,8.87
8.219.201.174,2096,2096,true,SIN,Asia Pacific,Singapore,67,8.87
8.222.253.235,2086,2086,false,SIN,Asia Pacific,Singapore,19,8.86
8.219.106.156,443,443,true,SIN,Asia Pacific,Singapore,153,8.86
47.236.121.23,2053,2053,true,SIN,Asia Pacific,Singapore,49,8.86
8.210.66.190,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,8.86
47.242.174.27,2086,2086,false,HKG,Asia Pacific,Hong Kong,54,8.86
8.219.126.240,8443,8443,true,SIN,Asia Pacific,Singapore,113,8.86
47.236.150.13,2096,2096,true,SIN,Asia Pacific,Singapore,98,8.86
8.222.144.50,8080,8080,false,SIN,Asia Pacific,Singapore,10,8.85
8.222.197.251,2095,2095,false,SIN,Asia Pacific,Singapore,40,8.84
8.219.193.202,8080,8080,false,SIN,Asia Pacific,Singapore,9,8.84
8.218.146.204,2095,2095,false,HKG,Asia Pacific,Hong Kong,55,8.84
47.236.174.206,2087,2087,true,SIN,Asia Pacific,Singapore,127,8.84
8.222.211.16,2083,2083,true,SIN,Asia Pacific,Singapore,67,8.84
